"",""
"Action","Action"
"Add Question","Add Question"
"An error occurred while updating the questions.","An error occurred while updating the questions."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find question to delete.","Could not find question to delete."
"Created at","Created at"
"Delete Question","Delete Question"
"Delete","Delete"
"Disabled","Disabled"
"Edit Question '%s'","Edit Question '%s'"
"Edit","Edit"
"Email","Email"
"Enable rss","Enable rss"
"Enabled","Enabled"
"Error saving question","Error saving question"
"Excel","Excel"
"Expert Reply","Expert Reply"
"Home","Home"
"Id","Id"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"Meta description for questions list page","Meta description for questions list page"
"Meta information","Meta information"
"Meta keywords for questions list page","Meta keywords for questions list page"
"Meta title for questions list page","Meta title for questions list page"
"Meta","Meta"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"Name","Name"
"No","No"
"None","None"
"Please select questions to delete.","Please select questions to delete."
"Please select questions.","Please select questions."
"Question Asked","Question Asked"
"Question was saved","Question was saved"
"Question was successfully deleted.","Question was successfully deleted."
"Question was successfully saved","Question was successfully saved"
"Question","Question"
"Questions","Questions"
"Relative to Website Base URL","Relative to Website Base URL"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Question","Save Question"
"Show in rss","Show in rss"
"Status","Status"
"Store views","Store views"
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The questions has been deleted.","The questions has been deleted."
"There was a problem saving the question.","There was a problem saving the question."
"There was an error deleting question.","There was an error deleting question."
"There was an error deleting questions.","There was an error deleting questions."
"There was an error updating questions.","There was an error updating questions."
"This question no longer exists.","This question no longer exists."
"Total of %d questions were successfully deleted.","Total of %d questions were successfully deleted."
"Total of %d questions were successfully updated.","Total of %d questions were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"URL key already exists.","URL key already exists."
"URL key for list page","URL key for list page"
"URL key","URL key"
"URL prefix","URL prefix"
"URL suffix","URL suffix"
"Unable to find question to save.","Unable to find question to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"What goes after the dot. Leave empty for no suffix.","What goes after the dot. Leave empty for no suffix."
"XML","XML"
"Yes","Yes"