"",""
"Action","Action"
"Add YagoComment","Add YagoComment"
"An error occurred while updating the yagocomments.","An error occurred while updating the yagocomments."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Comment Content","Comment Content"
"Comment Heading","Comment Heading"
"Could not find yagocomment to delete.","Could not find yagocomment to delete."
"Created at","Created at"
"Customer Email","Customer Email"
"Delete YagoComment","Delete YagoComment"
"Delete","Delete"
"Disabled","Disabled"
"Edit YagoComment '%s'","Edit YagoComment '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving yagocomment","Error saving yagocomment"
"Excel","Excel"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Please select yagocomments to delete.","Please select yagocomments to delete."
"Please select yagocomments.","Please select yagocomments."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save YagoComment","Save YagoComment"
"Status","Status"
"Store views","Store views"
"The yagocomments has been deleted.","The yagocomments has been deleted."
"There was a problem saving the yagocomment.","There was a problem saving the yagocomment."
"There was an error deleting yagocomment.","There was an error deleting yagocomment."
"There was an error deleting yagocomments.","There was an error deleting yagocomments."
"There was an error updating yagocomments.","There was an error updating yagocomments."
"This yagocomment no longer exists.","This yagocomment no longer exists."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d yagocomments were successfully deleted.","Total of %d yagocomments were successfully deleted."
"Total of %d yagocomments were successfully updated.","Total of %d yagocomments were successfully updated."
"Unable to find yagocomment to save.","Unable to find yagocomment to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"YagoComment was saved","YagoComment was saved"
"YagoComment was successfully deleted.","YagoComment was successfully deleted."
"YagoComment was successfully saved","YagoComment was successfully saved"
"YagoComment","YagoComment"
"YagoComments","YagoComments"
"Yes","Yes"