"",""
"Action","Action"
"Add ProductsLike","Add ProductsLike"
"An error occurred while updating the productslikes.","An error occurred while updating the productslikes."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find productslike to delete.","Could not find productslike to delete."
"Created at","Created at"
"Delete ProductsLike","Delete ProductsLike"
"Delete","Delete"
"Disabled","Disabled"
"Edit ProductsLike '%s'","Edit ProductsLike '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving productslike","Error saving productslike"
"Excel","Excel"
"Home","Home"
"IP Address","IP Address"
"Id","Id"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"Meta description for productslikes list page","Meta description for productslikes list page"
"Meta information","Meta information"
"Meta keywords for productslikes list page","Meta keywords for productslikes list page"
"Meta title for productslikes list page","Meta title for productslikes list page"
"Meta","Meta"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"No","No"
"None","None"
"Please select productslikes to delete.","Please select productslikes to delete."
"Please select productslikes.","Please select productslikes."
"Product ID","Product ID"
"Product Liked","Product Liked"
"Product SKU","Product SKU"
"ProductsLike was saved","ProductsLike was saved"
"ProductsLike was successfully deleted.","ProductsLike was successfully deleted."
"ProductsLike was successfully saved","ProductsLike was successfully saved"
"ProductsLike","ProductsLike"
"ProductsLikes","ProductsLikes"
"Relative to Website Base URL","Relative to Website Base URL"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save ProductsLike","Save ProductsLike"
"Status","Status"
"Store views","Store views"
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The productslikes has been deleted.","The productslikes has been deleted."
"There was a problem saving the productslike.","There was a problem saving the productslike."
"There was an error deleting productslike.","There was an error deleting productslike."
"There was an error deleting productslikes.","There was an error deleting productslikes."
"There was an error updating productslikes.","There was an error updating productslikes."
"This productslike no longer exists.","This productslike no longer exists."
"Total of %d productslikes were successfully deleted.","Total of %d productslikes were successfully deleted."
"Total of %d productslikes were successfully updated.","Total of %d productslikes were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"URL key already exists.","URL key already exists."
"URL key for list page","URL key for list page"
"URL key","URL key"
"URL prefix","URL prefix"
"URL suffix","URL suffix"
"Unable to find productslike to save.","Unable to find productslike to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"What goes after the dot. Leave empty for no suffix.","What goes after the dot. Leave empty for no suffix."
"XML","XML"
"Yes","Yes"